[INFO] 2025-08-21 11:29:56,778 django.server:213 - "GET /api/ecu_masters/?aircraft_master_id=201710309 HTTP/1.1" 200 2(method=- path=-)
[INFO] 2025-08-21 11:29:56,814 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 11:29:56,887 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 11:30:42,264 django.server:213 - "GET /user-profile/ HTTP/1.1" 200 180(method=- path=-)
[INFO] 2025-08-21 11:30:42,271 django.server:213 - "GET /user-profile/ HTTP/1.1" 200 180(method=- path=-)
[INFO] 2025-08-21 11:30:42,278 django.server:213 - "GET /api/params/get/ HTTP/1.1" 200 76(method=- path=-)
[INFO] 2025-08-21 11:30:42,282 django.server:213 - "GET /api/params/get/ HTTP/1.1" 200 76(method=- path=-)
[INFO] 2025-08-21 11:30:42,400 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 11:30:42,459 django.server:213 - "GET /api/ecu_masters/?aircraft_master_id=201710309 HTTP/1.1" 200 2(method=- path=-)
[INFO] 2025-08-21 11:30:42,497 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 11:30:43,002 django.server:213 - "GET /api/ecu_masters/?aircraft_master_id=201710309 HTTP/1.1" 200 2(method=- path=-)
[INFO] 2025-08-21 11:30:43,024 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 11:30:43,215 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 11:31:59,318 django.server:213 - "GET /user-profile/ HTTP/1.1" 200 180(method=- path=-)
[INFO] 2025-08-21 11:31:59,337 django.server:213 - "GET /user-profile/ HTTP/1.1" 200 180(method=- path=-)
[INFO] 2025-08-21 11:31:59,349 django.server:213 - "GET /api/params/get/ HTTP/1.1" 200 76(method=- path=-)
[INFO] 2025-08-21 11:31:59,358 django.server:213 - "GET /api/params/get/ HTTP/1.1" 200 76(method=- path=-)
[INFO] 2025-08-21 11:31:59,457 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 11:31:59,498 django.server:213 - "GET /api/ecu_masters/?aircraft_master_id=201710309 HTTP/1.1" 200 2(method=- path=-)
[INFO] 2025-08-21 11:31:59,540 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 11:31:59,575 django.server:213 - "GET /api/ecu_masters/?aircraft_master_id=201710309 HTTP/1.1" 200 2(method=- path=-)
[INFO] 2025-08-21 11:31:59,603 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 11:31:59,682 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 11:39:12,607 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 11:39:12,697 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 11:39:12,727 django.server:213 - "GET /api/ecu_masters/?aircraft_master_id=201710309 HTTP/1.1" 200 2(method=- path=-)
[INFO] 2025-08-21 11:39:12,809 django.server:213 - "GET /api/ecu_masters/?aircraft_master_id=201710309 HTTP/1.1" 200 2(method=- path=-)
[INFO] 2025-08-21 11:39:14,837 django.server:213 - "GET /user-profile/ HTTP/1.1" 200 180(method=- path=-)
[INFO] 2025-08-21 11:39:14,842 django.server:213 - "GET /user-profile/ HTTP/1.1" 200 180(method=- path=-)
[INFO] 2025-08-21 11:39:14,852 django.server:213 - "GET /api/params/get/ HTTP/1.1" 200 76(method=- path=-)
[INFO] 2025-08-21 11:39:14,859 django.server:213 - "GET /api/params/get/ HTTP/1.1" 200 76(method=- path=-)
[INFO] 2025-08-21 11:39:14,975 django.server:213 - "GET /api/ecu_masters/?aircraft_master_id=201710309 HTTP/1.1" 200 2(method=- path=-)
[INFO] 2025-08-21 11:39:15,063 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 11:39:15,076 django.server:213 - "GET /api/ecu_masters/?aircraft_master_id=201710309 HTTP/1.1" 200 2(method=- path=-)
[INFO] 2025-08-21 11:39:15,146 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 11:39:15,234 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 11:39:15,295 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 11:40:14,482 django.server:213 - "GET /user-profile/ HTTP/1.1" 200 180(method=- path=-)
[INFO] 2025-08-21 11:40:14,507 django.server:213 - "GET /user-profile/ HTTP/1.1" 200 180(method=- path=-)
[INFO] 2025-08-21 11:40:14,511 django.server:213 - "GET /api/params/get/ HTTP/1.1" 200 76(method=- path=-)
[INFO] 2025-08-21 11:40:14,523 django.server:213 - "GET /api/params/get/ HTTP/1.1" 200 76(method=- path=-)
[INFO] 2025-08-21 11:40:14,634 django.server:213 - "GET /api/ecu_masters/?aircraft_master_id=201710309 HTTP/1.1" 200 2(method=- path=-)
[INFO] 2025-08-21 11:40:14,706 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 11:40:14,721 django.server:213 - "GET /api/ecu_masters/?aircraft_master_id=201710309 HTTP/1.1" 200 2(method=- path=-)
[INFO] 2025-08-21 11:40:14,793 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 11:40:14,883 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 11:40:14,961 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 11:40:17,530 django.server:213 - "GET /api/params/get/ HTTP/1.1" 200 76(method=- path=-)
[INFO] 2025-08-21 11:40:17,552 django.server:213 - "GET /user-profile/ HTTP/1.1" 200 180(method=- path=-)
[INFO] 2025-08-21 11:40:17,558 django.server:213 - "GET /user-profile/ HTTP/1.1" 200 180(method=- path=-)
[INFO] 2025-08-21 11:40:17,572 django.server:213 - "GET /api/params/get/ HTTP/1.1" 200 76(method=- path=-)
[INFO] 2025-08-21 11:40:17,684 django.server:213 - "GET /api/ecu_masters/?aircraft_master_id=201710309 HTTP/1.1" 200 2(method=- path=-)
[INFO] 2025-08-21 11:40:17,760 django.server:213 - "GET /api/ecu_masters/?aircraft_master_id=201710309 HTTP/1.1" 200 2(method=- path=-)
[INFO] 2025-08-21 11:40:17,782 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 11:40:17,865 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 11:40:17,940 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 11:40:18,017 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 11:44:34,827 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
[INFO] 2025-08-21 11:44:34,867 django.server:213 - "GET /api/ecu_masters/?aircraft_master_id=201710309 HTTP/1.1" 200 2(method=- path=-)
[INFO] 2025-08-21 11:44:34,903 django.server:213 - "GET /api/aircraft_masters/201710309/?include=aircraft_type HTTP/1.1" 200 745(method=- path=-)
